1.0000,0.6021,0.5970,-0.0436,0.5381,0.4403,0.5967,0.6336,0.2863,0.1125,0.7178,0.4869,0.1349,0.2803,0.3806,0.2537,0.6058,0.3324,0.5440,0.2000
0.6021,1.0000,0.7873,0.2109,0.2369,0.2579,0.4703,0.4391,0.4689,-0.0051,0.5574,0.5071,0.3834,0.4692,0.2671,0.4018,0.5736,0.1887,0.5742,0.3621
0.5970,0.7873,1.0000,0.1667,0.3027,0.3287,0.6435,0.4667,0.4186,0.0288,0.5004,0.6201,0.2985,0.4190,0.2812,0.3491,0.7268,0.2023,0.5836,0.3995
-0.0436,0.2109,0.1667,1.0000,-0.1020,-0.0653,0.0793,-0.0731,0.4880,0.0110,0.0094,0.2738,0.4643,0.3042,0.1922,0.2983,0.1285,-0.0054,0.2437,0.4120
0.5381,0.2369,0.3027,-0.1020,1.0000,0.5437,0.4049,0.6834,0.2223,0.0067,0.3323,0.3684,0.0643,0.1937,0.6769,0.0377,0.4521,0.3282,0.4307,0.1569
0.4403,0.2579,0.3287,-0.0653,0.5437,1.0000,0.3526,0.3067,0.2676,-0.1114,0.5677,0.4814,0.3134,0.4897,0.3897,0.4292,0.5390,0.6860,0.3796,0.4757
0.5967,0.4703,0.6435,0.0793,0.4049,0.3526,1.0000,0.5564,0.2946,0.3377,0.4865,0.6843,0.1433,0.2967,0.3350,0.2103,0.7907,0.3033,0.5671,0.3099
0.6336,0.4391,0.4667,-0.0731,0.6834,0.3067,0.5564,1.0000,0.3063,0.0049,0.3919,0.4353,0.0880,0.1372,0.5095,0.1014,0.4946,0.1941,0.5992,0.1016
0.2863,0.4689,0.4186,0.4880,0.2223,0.2676,0.2946,0.3063,1.0000,0.0234,0.3035,0.5575,0.5872,0.4367,0.3033,0.5087,0.4055,0.2908,0.4849,0.5168
0.1125,-0.0051,0.0288,0.0110,0.0067,-0.1114,0.3377,0.0049,0.0234,1.0000,0.0232,0.2454,0.0366,-0.0269,-0.0956,0.0239,0.1096,-0.0346,-0.0217,0.0701
0.7178,0.5574,0.5004,0.0094,0.3323,0.5677,0.4865,0.3919,0.3035,0.0232,1.0000,0.5108,0.3553,0.3124,0.3230,0.4627,0.5443,0.5762,0.5594,0.3878
0.4869,0.5071,0.6201,0.2738,0.3684,0.4814,0.6843,0.4353,0.5575,0.2454,0.5108,1.0000,0.4160,0.4684,0.4126,0.5590,0.7470,0.4027,0.5655,0.5878
0.1349,0.3834,0.2985,0.4643,0.0643,0.3134,0.1433,0.0880,0.5872,0.0366,0.3553,0.4160,1.0000,0.5172,0.3087,0.5131,0.3010,0.4322,0.4848,0.6331
0.2803,0.4692,0.4190,0.3042,0.1937,0.4897,0.2967,0.1372,0.4367,-0.0269,0.3124,0.4684,0.5172,1.0000,0.2054,0.4225,0.5002,0.4512,0.4498,0.4399
0.3806,0.2671,0.2812,0.1922,0.6769,0.3897,0.3350,0.5095,0.3033,-0.0956,0.3230,0.4126,0.3087,0.2054,1.0000,0.1276,0.3844,0.2608,0.4626,0.3882
0.2537,0.4018,0.3491,0.2983,0.0377,0.4292,0.2103,0.1014,0.5087,0.0239,0.4627,0.5590,0.5131,0.4225,0.1276,1.0000,0.3391,0.4133,0.3352,0.5595
0.6058,0.5736,0.7268,0.1285,0.4521,0.5390,0.7907,0.4946,0.4055,0.1096,0.5443,0.7470,0.3010,0.5002,0.3844,0.3391,1.0000,0.3890,0.6002,0.4245
0.3324,0.1887,0.2023,-0.0054,0.3282,0.6860,0.3033,0.1941,0.2908,-0.0346,0.5762,0.4027,0.4322,0.4512,0.2608,0.4133,0.3890,1.0000,0.3918,0.3499
0.5440,0.5742,0.5836,0.2437,0.4307,0.3796,0.5671,0.5992,0.4849,-0.0217,0.5594,0.5655,0.4848,0.4498,0.4626,0.3352,0.6002,0.3918,1.0000,0.3779
0.2000,0.3621,0.3995,0.4120,0.1569,0.4757,0.3099,0.1016,0.5168,0.0701,0.3878,0.5878,0.6331,0.4399,0.3882,0.5595,0.4245,0.3499,0.3779,1.0000
